H2;CH4;C2H6;C2H4;C2H2;Fail
820;1740;951;867;128;T1
74;100;85;17;0,001;T1
39,4;65,2;103,9;8,1;0,001;T1
74,8;30,1;82,3;13,6;0,001;T1
79;40;264;10;0,001;T1
5;14;234;5;0,001;T1
15;139;160;343;0,001;T2
0,001;6;52;67;0,001;T2
26;398;85;319;0,001;T2
50;274;95;320;6,3;T2
31;63;246;714;7;T2
2;5;81;172;0,001;T2
3;5;90;185;3;T2
16;98;35;64;0,001;T2
2;123;7;18;0,001;T2
185;302;27;33;0,001;T2
14;15;42;73;0,001;T2
62;425;276;651;26;T2
88,7;460,8;94,9;184,6;18,3;T2
119;670;286;934;19;T2
109;102;28;91;0,001;T2
0,001;4,9;81;172;0,001;T2
24;78;266;779;7;T2
24;80;258;741;6;T2
18;35;2;110;0,001;T3
10;4;1;87;0,001;T3
8;1;0,001;60;0,001;T3
24;20;4;87;0,001;T3
21;42;4;92;0,001;T3
35;29;7;78;0,001;T3
8;88;45;252;0,001;T3
0,001;28;64;408;6;T3
0,001;100;309;1365;7;T3
0,001;106;170;871;6;T3
86;480;155;644;9;T3
121;450;146;898;116;T3
0,001;3,4;0,001;54;0,001;T3
11;13;2;127;0,001;T3
4;2;1;63;0,001;T3
20;26;6;55;0,001;T3
34;174;52;361;0,001;T3
7;31;23;148;0,001;T3
0,001;0,001;0,001;142;0,001;T3
89;281;145;1216;22;T3
0,001;10;17;68;5;T3
39;525;538;2925;16;T3
9;47;144;628;0,001;T3
53;189;25;295;5;T3
12;270;0,001;275;0,001;T3
0,001;153;130;677;13;T3
27;51;0,001;153;0,001;T3
0,001;0,001;9;57;0,001;T3
35;112;55;143;0;T2
621;538;208;1004;0;T3
152;332;139;669;0;T3
65;42;17;103;0;T2
223;390;160;392;2;T2
35;169;92;309;0;      T3
32;148;60;157;0;      T2
25;63;31;103;0;      T3
182;210;119;347;0;      T2
120;175;101;321;0;     T3
85;158;85;119;0;     T2
118;60;87;307;0;    T3
75;55;32;113;0;    T2
170;470;163;420;0;   T2
95;178;182;88;0;           T1
85;158;85;119;0;           T2
70;108;21;10;0;          T1
80;60;128;17;0;         T1
490;193;85;475;21;         PD
495;195;88;478;21;         PD
490;115;55;310;15;         PD
131;74;40;165;10;           T1
127;52;37;125;7;           T1
98;150;60;385;0;             T3
95;130;50;277;0;            T3
96;95;42;190;0;            T3
98;95;23;129;0;            T3
89;103;149;50;0;     T2
65;59;115;58;0;     T2
45;101;206;10;0;     T2
46;105;208;10;0;     T2
85;81;116;12;0;     T2
90;80;120;10;0;     T2
75;84;119;1;0;     T2
75;86;120;1;0;     T2
85;81;115;40;0;     T2
86;74;110;40;0;     T2
65;138;146;57;0;     T2
60;132;150;62;0;    T2
85;147;281;34;0;     T2
90;150;206;35;0;    T2
95;95;85;16;0;      T1
97;90;87;88;0;      T1
95;122;304;14;0;      T2
100;125;188;10;0;     T2
50;51;118;20;0;      T2
52;55;120;20;0;      T2
260;169;56;336;108;PD
70;70;118;60;0;T2
55;108;106;20;0;         T2
55;110;110;21;0;        T2
45;85;131;13;0;       T2
50;85;132;10;0;       T2
247;30;4;27;61;PD
172;20;4;20;45;PD
221;90;4;22;85;PD
247;30;4;27;61;PD
172;20;4;20;45;PD
221;90;4;22;85;PD
98;20;10;13;0;           T1
105;20;10;15;1;           T1
110;191;89;360;0;        T3
105;60;19;38;0;          T1
108;50;17;26;0;         T1
105;51;14;25;0;T1
85;152;128;120;0;T1
92;276;98;138;0;         T2
108;115;102;23;0;        T1
105;134;55;128;0;         T2
110;136;50;125;0;         T2
110;137;50;124;0;         T2
170;20;10;10;0;          T1
85;330;135;769;0;         T3
85;320;102;650;0;         T3
75;165;73;570;0;        T3
65;161;70;556;0;       T3
47;290;40;92;1;      T2
92;100;14;10;0;        T1
95;105;10;10;0;      T2
85;105;145;25;0;       T1
74;110;148;20;0;     T1
75;108;145;39;0;     T2
85;110;141;27;0;     T1
86;112;115;53;0;        T1
88;115;118;55;0;       T1
91;113;123;58;0;       T1
94;115;126;55;0;       T1
51;155;25;15;0;        T1
55;150;20;10;0;        T1
 3930; 2397; 157; 0; 0;PD
 37800; 1740; 249; 8; 8;PD
 92600; 10200; 0; 0; 0;PD
 8266; 1061; 22; 0; 0;PD
 9340; 995; 60; 6; 7;PD
 36036; 4704; 554; 5; 10;PD
 33046; 619; 58; 2; 0;PD
 40280; 1069; 1060; 1; 1;PD
 26788; 18342; 2111; 27; 0;PD
 78; 20; 11; 13; 28;D1
 305; 100; 33; 161; 541;D1
 35; 6; 3; 26; 482;D1
 543; 120; 41; 411; 1880;D1
 1230; 163; 27; 233; 692;D1
 645; 86; 13; 110; 317;D1
 60; 10; 4; 4; 4;D1
 95; 10; 0; 11; 39;D1
 6870; 1028; 79; 900; 5500;D1
 10092; 5399; 530; 6500; 37565;D1
 650; 81; 170; 51; 270;D1
 210; 22; 6; 6; 7;D1
 385; 60; 8; 53; 159;D1
 4230; 690; 5; 196; 1180;D1
 7600; 1230; 318; 836; 1560;D1
 595; 80; 9; 89; 244;D1
 120; 25; 1; 8; 40;D1
 8; 0; 0; 43; 101;D1
 6454; 2313; 121; 2159; 6432;D1
 2177; 1049; 207; 440; 705;D1
 1790; 580; 321; 336; 619;D1
 1330; 10; 20; 66; 182;D1
 4; 1; 2; 7; 52;D1
 1900; 285; 31; 957; 7730;D1
 57; 24; 2; 27; 30;D1
 1000; 500; 1; 400; 500;D1
 440; 89; 19; 304; 757;D2
 210; 43; 12; 102; 187;D2
 2850; 1115; 138; 1987; 3675;D2
 7020; 1850; 0; 2960; 4410;D2
 545; 130; 16; 153; 239;D2
 7150; 1440; 97; 1210; 1760;D2
 620; 325; 38; 181; 244;D2
 120; 31; 0; 66; 94;D2
 755; 229; 32; 404; 460;D2
 5100; 1430; 0; 1140; 1010;D2
 13500; 6110; 212; 4510; 4040;D2
 1570; 1110; 175; 1780; 1830;D2
 3090; 5020; 323; 3800; 2540;D2
 1820; 405; 35; 365; 634;D2
 535; 160; 16; 305; 680;D2
 13; 3; 1; 3; 6;D2
 137; 67; 7; 53; 104;D2
 1084; 188; 8; 166; 769;D2
 34; 21; 4; 49; 56;D2
 7940; 2000; 355; 3120; 5390;D2
 150; 130; 9; 55; 30;D2
 8200; 3790; 250; 4620; 5830;D2
 260; 215; 35; 334; 277;D2
 75; 15; 7; 14; 26;D2
 530; 345; 85; 266; 250;D2
 60; 5; 2; 21; 21;D2
 90; 28; 8; 31; 32;D2
 220; 77; 22; 170; 240;D2
 5900; 1500; 68; 1200; 2300;D2
 420; 250; 41; 530; 800;D2
 2800; 2800; 234; 3500; 3600;D2
 99; 170; 20; 200; 190;D2
 310; 230; 54; 610; 760;D2
 800; 160; 23; 260; 600;D2
 1500; 395; 28; 395; 323;D2
 20000; 13000; 1850; 29000; 57000;D2
 305; 85; 25; 197; 130;D2
 1900; 530; 35; 383; 434;D2
 110; 62; 90; 140; 250;D2
 3700; 1690; 128; 2810; 3270;D2
 2770; 660; 54; 712; 763;D2
 245; 120; 18; 131; 167;D2
 1170; 255; 18; 312; 325;D2
 4419; 3564; 668; 2861; 2025;D2
 810; 280; 111; 570; 490;D2
 5000; 1200; 83; 1000; 1100;D2
 10000; 6730; 345; 7330; 10400;D2
 1570; 735; 87; 1330; 1740;D2
 8800; 64064; 72128; 95650; 0;T3
 6709; 10500; 1400; 17700; 750;T3
 1100; 1600; 221; 2010; 26;T3
 290; 966; 299; 1810; 57;T3
 2500; 10500; 4790; 13500; 6;T3
 1860; 4980; 0; 10700; 1600;T3
 860; 1670; 30; 2050; 40;T3
 150; 22; 9; 60; 11;T3
 400; 940; 210; 820; 24;T3
 6; 2990; 29990; 26076; 67;T3
 100; 200; 110; 670; 11;T3
 290; 1260; 231; 820; 8;T3
 1550; 2740; 816; 5450; 184;T3
 3910; 4290; 626; 6040; 1230;T3
 12705; 23498; 6047; 34257; 5188;T3
 1; 8; 8; 100; 6;T3
 300; 700; 280; 1700; 36;T3
 107; 143; 34; 222; 2;T3
54,54;71,93;9,72;97,37;6,58;T3
116,17;180,83;52,48;278,18;5,36;T3
 5760; 540;40,5; 1000; 2760;D2
50,18;171,12;74,7;148,69; 0;T2
 20;80,2;24,6;68,6; 0;T2
28,97;10,94;1,64;6,96;4,36;T3
15,9;55,98;22,33;137,25;0,21;T3
47,6;19,1;4,21; 27;0,72;T1
 40;102,6;32,3;183,3;0,2;D2
50,35;65,58;21,05;99,13;0,96;T3
2,369;119,69;21,891;20,15; 0;T1
120,45;210,91;35,7;285,39;15,86;T3
87,17;17,26;3,94;12,87;32,81;D1
5,48;48,82;96,81;489,57;0,3;T3
 605; 1586; 655; 1901;2,3;T3
1,96;2,1;0,5;0,67;1,59;D1
 462;212,4;31,6; 0; 0;PD
25,4;54,97;8,72;77,84;10,47;T3
131,7;116,55;19,4;183,97;0,32;T3
7911,85;947,43;96,93;907,19;4844,48;D1
 21;2,01;0,46;1,48;5,61;D1
676,74;969,55;570,57;2483,26;17,48;T3
7238,97;695,16;231,6;2394,3;2308,92;D2
101,5;24,45;8,97;128,37; 0;T3
73,8; 148;38,9; 181;1,76;T3
34,76;5,52;2,09;4,97;10,36;D1
18,19;21,99;6,58;46,92;3,97;T3
1,6; 1;0,1;0,9;1,6;D1
 22400; 22400; 2690; 13440; 1570;T3
 670; 224; 45; 67; 2;T2
 224;4,5; 2; 0; 0;T1
 900; 9180; 0; 900; 22;T1
 0; 224; 0; 45; 0;T1
 470; 4637; 1300; 448; 0;T1
 65; 20; 10; 5; 0;T1
 53; 39; 3;4,5; 0;T1
 219; 44; 3; 3; 0;T1
 37; 47; 10;5,5; 0;T1
 34; 30; 34;2,5; 0;T1
 14; 62; 16; 3; 0;T1
 65; 34; 16; 112; 0;T3
0,7;1,5;0,3;1,8; 0;T2
 0;0,2;0,1;0,13; 0;T2
 48; 40; 11;0,5; 0;T1
 130; 140; 24; 120; 0;T1
 86; 8;2,5;2,5; 0;T1
 6; 3;0,8;0,7; 0;T1
 50; 3; 1; 0; 0;T1
 55; 22;0,5;2,6; 0;T1
 78; 66; 62;2,6; 0;T1
 1600; 3600; 670; 14; 0;PD
 6600; 1000; 38; 2; 19;PD
 88; 9; 0;0,03; 0;PD
 2240; 168; 25; 0; 0;PD
 1950; 123; 38; 2; 2;PD
 2240; 157; 90; 45; 45;PD
 73; 8; 4; 2; 12;D1
 5000; 4000; 2000; 2000; 8000;D1
24,3;15,7;6,4;11,2;29,8;D1
 2240; 360; 25; 169; 828;D1
 4480; 560; 380; 403; 896;D1
 2240; 560; 380; 450; 940;D1
 200; 230; 2; 170; 480;D1
 60; 5; 1; 6; 29;D1
 890; 110; 3; 84; 700;D1
 41; 112; 0; 254; 4536;D1
 16000; 4000; 500; 8500; 16000;D2
 21; 75; 24; 126; 0;T3
 111; 559; 243; 707; 0;T2
 23;59,9;18,6;56,9;0,1;T2
 740; 2227; 567; 4258; 42;T3
 388; 860; 230; 1833;18,3;T3
 84; 126;28,9;132,2;0,37;T2
 362; 533; 91; 553; 10;T2
 103;221,7;47,2; 422;0,9;T3
1769,7;554,2;145,2;1066,7;885,7;D2
 38;3,7; 0;4,1;19,4;D1
 700;137,4;14,9;194,8;936,6;D1
 253;21,5;5,9;16,1;72,4;D1
 131; 32;7,3;18,8;38,7;D1
 116; 20; 7; 27; 54;D1
 70;3,8;0,6;3,2;31,1;D1
 34;18,9;3,7;9,4;5,6;D1
 390;62,6;12,8;65,3;133,6;D2
 1270; 3450; 520; 1390; 8;T2
 3420; 7870; 1500; 6990; 33;T2
 360; 610; 259; 260; 9;T2
 1; 27; 49; 4; 1;T2
 3675; 6392; 2500; 7691; 5;T2
 48; 610; 29; 10; 0;T2
 12; 18; 4; 4; 0;T2
 66; 60; 2; 7; 0;T2
 1450; 940; 211; 322; 61;T2
 0; 18900; 410; 540; 330;T2
 960; 4000; 1290; 1560; 6;T2
 24700; 61000; 26300; 42100; 1560;T2
 14; 44; 124; 7; 1;T2
 2031; 149; 20; 3; 0;T2
 480; 1075; 298; 1132; 0;T2
 40000; 400; 70; 600; 6;T2
1458;9;1812;0,0001;0,0001;PD
2240;157;90;157;45;PD
73;8;4;2;12;PD
235;16;0,0001;35;0,0001;PD
9340;995;60;6;7;PD
33046;619;58;2;0,0001;PD
8266;1061;22;0,0001;0,0001;PD
230;15,9;16,3;1,9;2,4;PD
109;16;0,0001;0,0001;0,0001;PD
113;21;48;0,0001;4;PD
1309;124;113;6;0,0001;PD
1549,2;10,2;0,0001;53,19;0,0001;PD
101;8,1;0,0001;3;0,0001;PD
36036;4704;554;5;10;PD
160;10;3;1;1;PD
1076;95;4;71;231;PD
407;28;15;21;0,0001;PD
2240;560;380;450;940;PD
92600;10200;1;2;0,0001;PD
2587,2;112,25;4,704;1,4;0,0001;PD
195,9;14,5;11,6;2,4;0,0001;PD
180,85;0,574;0,234;0,188;0,0001;PD
4480;560;380;403;896;PD
1651;90;33;45;2;PD
980;73;58;12;0,0001;PD
6600;1000;38;2;19;PD
56;61;75;32;31;PD
2240;168;25;0,0001;0,0001;PD
92600;10200;0,0001;0,0001;0,0001;PD
24,3;15,7;6,4;11,2;29,8;PD
485;35;29;6;0,0001;PD
109;4;11;9;0,0001;PD
16000;4000;500;8500;16000;PD
2031;149;20;3;0,0001;PD
870;77;73;54;14;PD
106;4;2;1;0,0001;PD
32930;2397;157;0,0001;0,0001;PD
197;12;6,6;15;0,0001;PD
117;17;1;3;1;PD
160;24,7;38,5;0,0001;0,0001;PD
134;13;156;0,0001;0,0001;PD
166;21;38;6;0,0001;PD
183;6;0,0001;5;0,0001;PD
2240;157;90;45;45;PD
6454;2313;121;2159;6432;D1
240;20;5;28;96;D1
65,2;20;3,9;8,13;25,1;D1
143;5,8;16;10,6;26,3;D1
30,1;17,1;2,2;5,5;30,1;D1
120;25;1;8;40;D1
137;6;11,4;6,4;16,5;D1
23;63;54;10;0,3;D1
4879;262;15;332;1827;D1
301;5,78;4,7;9,7;5;D1
716;7,1;3,3;20;6,8;D1
289;13,4;18,2;49,8;36,3;D1
179;29;10;17;33;D1
2177;1049;207;440;705;D1
7600;1230;318;836;1560;D1
543;120;41;411;1880;D1
186;38,3;13;37;85,9;D1
4,1;3,5;0,68;1,2;5,2;D1
210;22;6;6;7;D1
254;5,2;0,0001;9,3;88;D1
385;28,8;50;82,3;171;D1
843;133;12;168;385;D1
208;7,6;27,5;9,7;14,4;D1
65,5;23,3;1;2,1;26;D1
35;6;3;26;482;D1
3559;187;22;230;1140;D1
10092;5399;530;6500;37565;D1
1900;285;31;957;7730;D1
307;22;2;33;109;D1
225;4,7;0,0001;8,7;89;D1
78;20;11;13;28;D1
266;30,2;4,9;26,2;60,2;D1
645;86;13;110;317;D1
119;8;23,3;7,9;12,3;D1
57;24;2;27;30;D1
14,2;4;1,4;1,5;9,51;D1
818;94;49;121;978;D1
115;25,5;110;12,2;8,6;D1
205;20;8;0,0001;6;D1
101,72;27,65;7,13;16,92;53,87;D1
135;27;24;9;13;D1
47,5;22,9;4,5;9,6;15,3;D1
6870;1028;79;900;5500;D1
119;8;20;0,0001;21;D1
60;10;4;4;4;D1
385;60;8;53;159;D1
5,26;0,0001;0,0001;28,2;66,4;D1
2510;202;139;208;1730;D1
650;81;170;51;270;D1
153;18;9;0,0001;278;D1
1790;580;321;336;619;D1
256;8;37,4;15;21,1;D1
60;10;0,0001;11;39;D1
151;13,5;50,7;5;9,2;D1
9;3,9;0,8;4;13;D1
274;27;5;33;97;D1
305;100;33;161;541;D1
176;652,9;47,7;75,7;68,7;D1
87;34;23;15;60;D2
220;77;22;170;240;D2
274;27;5;33;97;D2
155;49;69,3;42;10,7;D2
137;67;7;53;104;D2
63;22;15;11;76;D2
292;346;32;313;196;D2
217;286;14;458;884;D2
13500;6110;212;4510;4040;D2
88,5;22,8;108,4;12;7,5;D2
50;42;98;10;33;D2
60;5;2;21;32;D2
25;9;6;5;44;D2
37,9;7,7;2,16;18,4;33,7;D2
18,34;16,26;3,38;17,95;16,42;D2
1084;188;8;166;769;D2
497;230;51;151;122;D2
32,4;5,5;1,4;12,6;13,2;D2
19;12;2;8;63;D2
210;43;12;102;187;D2
26;68;93;31;59;D2
114;41;27;15;42;D2
7150;1440;97;1210;1760;D2
8;0,0001;0,0001;43;101;D2
1607;615;80;916;1294;D2
46;20;14;10;42;D2
1027;185;17;271;399;D2
37;11,8;15,5;43,6;83,3;D2
200;48;14;117;131;D2
392;153;82;45;236;D2
12,4;6,5;15,3;69;15;D2
71;151;9;89;412;D2
127;24;0,0001;32;81;D2
800;160;23;260;600;D2
212;38;15;47;78;D2
8200;3790;250;4620;277;D2
2800;2800;234;3500;3600;D2
195,7;58;16,4;91,6;96,9;D2
235;39,45;9,63;210;257;D2
441;207;43;224;261;D2
110;62;90;140;250;D2
88;21,8;79,2;41,2;41,5;D2
531;111,9;22,7;122,5;169;D2
9474;4066;353;6552;12997;D2
152;116;7;131;414;D2
150;130;9;55;30;D2
75;15;7;14;250;D2
43;19;3;0,0001;40;D2
1114;719;188;1217;699;D2
35;11;0,0001;7;146;D2
629;402;16;298;1127;D2
7940;2000;355;3120;5390;D2
7020;1850;0,0001;2960;4410;D2
151;51;16;12;19;D2
2;41;133;9;21;D2
75,5;30,2;2,33;30,3;18,2;D2
17;42;192;12;20;D2
156;55;103;13;16;D2
21;34;5;47;62;D2
64;18;1;4;122;D2
25;28;27;15;80;D2
2770;660;54;712;763;D2
4419;3564;668;2861;2025;D2
1500;395;28;395;323;D2
10;15;0,0001;0,0001;35;D2
1570;1110;175;1780;1830;D2
22;14;19;6;56;D2
1249;370;56;606;1371;D2
1900;530;35;383;434;D2
5900;1500;68;1200;2300;D2
3700;1690;128;2810;3270;D2
75;5;31;69;36;D2
323;115;7;130;446;D2
127;107;11;154;224;D2
3090;5020;323;3800;2540;D2
48;20;69;41;31;D2
60;5;2;21;21;D2
30;14;1;9;43;D2
7020;1850;0,0001;2960;4410;D2
1170;255;18;312;325;D2
858;1324;208;2793;7672;D2
14,3;92,6;83,9;16,7;26,8;D2
57;148;197;72;42;D2
260;215;35;334;277;D2
215;84,8;87,7;1002;212;D2
440;89;19;304;757;D2
77;36;27;18;76;D2
60;85;5;67;227;D2
594;230;44;130;102;D2
1820;405;35;365;634;D2
123;50,7;9;62;65,9;D2
90;28;8;31;32;D2
26,6;4;0,0001;8;50;D2
46;21;1;11;93;D2
13;3;1;3;6;D2
305;85;25;197;130;D2
75;15;7;14;26;D2
307;22;2;33;109;D2
0,0001;21;0,0001;0,0001;40;D2
88;45;57;15;39;D2
80;28;4;15;107;D2
755;229;32;404;460;D2
530;345;85;266;250;D2
310;230;54;610;760;D2
620;325;38;181;244;D2
4906;8784;1404;9924;9671;D2
85;98;315;30;0,0001;T1
12;28;102;3;0,0001;T1
36;167;230;18;0,0001;T1
24;47;113;10;0,0001;T1
54,9;8,8;80;2,5;0,0001;T1
112;68;136;9;0,0001;T1
7;15;78;58;0,0001;T1
219;44;3;3;0,0001;T1
39,4;65,2;103,9;8,1;0,0001;T1
95;110;160;50;0,0001;T1
0,0001;153;395;11,7;0,0001;T1
121;73;179;11;0,0001;T1
74;173;263;33;0,0001;T1
13;59;117;44;0,0001;T1
13;138;83;16;0,0001;T1
36;21;65;2;0,0001;T1
9;56;135;7;1;T1
0,0001;187;609;13;0,0001;T1
820;1740;951;867;128;T1
10;56;72;70;0,0001;T1
12;18;4;4;0,0001;T1
10;26;147;6;0,0001;T1
143,2;123;38;75;0,0001;T1
18;30;146;8;0,0001;T1
27;28;136;8;0,0001;T1
34;8,6;70,3;3,1;0,0001;T1
113;137;173;34;0,0001;T1
45;125;111;25;0,0001;T1
78;66;62;2,6;0,0001;T1
55;22;358;2,6;0,0001;T1
10;63;176;35;0,0001;T1
11;271;465;32;0,0001;T1
34;30;34;2,5;0,0001;T1
187;86;155;21;6;T1
93,5;131,9;39;11,7;0,0001;T1
48;40;11;0,5;0,0001;T1
124;166;87;59;0,0001;T1
8;16;88;7;0,0001;T1
320;131;187;127;0,0001;T1
92;27;67;7;0,0001;T1
900;9180;0,0001;900;22;T1
6;197;476,9;16,9;0,0001;T1
0,0001;215;555;18,4;0,0001;T1
78;66;283;2,6;0,0001;T1
130;140;24;120;0,0001;T1
10;24;80;5;0,0001;T1
0,0001;224;0,0001;45;0,0001;T1
19;48;76;18;0,0001;T1
6;38;93;32;0,0001;T1
11;46;155;18;0,0001;T1
27;49;192;9;0,0001;T1
103;74;80;9;0,0001;T1
31,2;8,9;119;4,4;0,0001;T1
0,0001;33,7;136;11,4;0,0001;T1
6;3;0,8;0,7;0,0001;T1
181;262;41;28;0,0001;T1
14;44;124;7;1;T1
1;27;49;4;1;T1
50;3;1;0,0001;0,0001;T1
21;14;191;90;0,0001;T1
160;130;33;96;0,0001;T1
16;68;157;19;0,0001;T1
122;161;271;35;0,0001;T1
4;99;82;4,2;0,1;T1
157;46;76;12;0,0001;T1
38;38;296;14;0,0001;T1
24,7;20,4;117;71;6,8;T1
74,8;30,1;82,3;13,6;0,0001;T1
33;29;9;12;0,0001;T1
74;100;85;17;0,0001;T1
5;14;234;5;0,0001;T1
181;162;70;132;0,0001;T1
36;94;78;13;2;T1
505,57;475,35;242,3;524,45;3,29;T1
25;49;42;58;0,0001;T2
14;15;42;73;0,0001;T2
180;175;75;50;4;T2
59;119;36;70;0,0001;T2
185;302;27;33;0,0001;T2
1270;3450;520;1390;8;T2
119;670;286;934;19;T2
72;442;221;461;0,7;T2
16;98;35;64;0,0001;T2
41;65;22;58;0,0001;T2
110,6;458,8;242,6;406,4;0,0001;T2
200;700;250;740;1;T2
15;159;29;87;0,0001;T2
18;63;20;51;0,0001;T2
54;143;23;101;0,0001;T2
43;116;65;139;0,0001;T2
73;177;37;52;0,0001;T2
57;141;38;51;0,0001;T2
15;139;160;343;0,0001;T2
23,51;61,33;45,21;98,03;1,01;T2
2;123;7;18;0,0001;T2
24;80;258;741;6;T2
613;3240;1432;2788;0,0001;T2
109;226;68;192;0,0001;T2
35;283;121;222;0,0001;T2
2;5;81;172;0,0001;T2
30,4;117;44,2;138;0,1;T2
0,0001;6;52;67;0,0001;T2
2004;9739;2750;5113;0,0001;T2
31;63;246;714;7;T2
26;398;85;319;0,0001;T2
152;32;28;55;0,0001;T2
300;490;180;360;95;T2
960;4000;1290;1560;6;T2
0,67;0,224;0,045;0,067;0,002;T2
0,0001;4,9;81;172;0,0001;T2
24;34,6;14,2;21,7;0,0001;T2
220;340;42;480;14;T3
290;966;299;1810;57;T3
8800;64064;72128;95650;0,0001;T3
39;525;538;2925;16;T3
290;1260;231;820;8;T3
0,0001;153;130;677;13;T3
15,55;7,4;7,4;41,93;6,35;T3
35,1;50,6;16,1;93;1,1;T3
0,0001;28;64;408;6;T3
156;240;54;399;0,98;T3
89;281;145;1216;22;T3
1100;1600;221;2010;26;T3
0,0001;0,0001;9;57;0,0001;T3
137;369;144;1242;16;T3
425;17424;7299;37043;158;T3
30;25,5;31,5;93;1,8;T3
107;143;34;222;2;T3
860;1670;30;2050;40;T3
0,0001;106;170;871;6;T3
8;1;0,0001;60;0,0001;T3
53;150;64;379;0,0001;T3
400;940;210;820;24;T3
199;770;217;1508;72;T3
244;754;172;1281;27;T3
60;144;67;449;9;T3
6709;10500;1400;17700;750;T3
86;277;63;338;0,0001;T3
7;31;23;148;0,0001;T3
300;700;280;1700;36;T3
20;26;6;55;0,0001;T3
3910;4290;626;6040;1230;T3
23;14151;5332;23264;0,0001;T3
135,65;278,53;58,86;492;2,95;T3
9;47;144;628;0,0001;T3
8;88;45;252;0,0001;T3
179;306;73;579;0,0001;T3
80;619;326;2480;0,0001;T3
416;695;74;867;0,0001;T3
19,3;103;159;19;0,6;T3
137;279;66;505;0,0001;T3
12705;23498;6047;34257;5188;T3
46;147;27;150;0,0001;T3
21;42;4;92;0,0001;T3
165,62;240,95;61,32;514,53;13,53;T3
39;7;12;65;0,0001;T3
86;480;155;644;9;T3
68;99,2;35,9;202,9;0,0001;T3
172,9;334;172;812,5;37,7;T3
164;244;103;497;8,3;T3
20;48;36;186;0,0001;T3
0,0001;0,0001;0,0001;142;0,0001;T3
63;149,6;57,5;276;0,0001;T3
121;450;146;898;116;T3
30;51;12;54;0,0001;T3
22400;22400;2690;13440;1570;T3
36;30;10;93;7,1;T3
17;40;11;86;0,0001;T3
0,0001;3,4;0,0001;54;0,0001;T3
18;35;2;110;0,0001;T3
35;29;7;78;0,0001;T3
6;2990;29990;26076;67;T3
236;410,2;159;817,3;3,5;T3
0,0001;100;309;1365;7;T3
173;334;172;812,5;37,7;T3
110;7;0,0001;0,0001;0,0001;PD
240;20;5;28;96;PD
5000;4000;2000;2000;8000;PD
94,96;4,37;0,62;0,02;0,02;PD
41;112;0,0001;254;4536;PD
100;18;0,0001;0,0001;0,0001;PD
37800;1740;249;8;8;PD
103,5;4,7;16,3;3,5;0,0001;PD
200;230;2;170;480;PD
40280;1069;1060;1;1;PD
116;14;134;5,3;0,0001;PD
88;9;0,0001;0,03;0,0001;PD
105;23;13;4;3;PD
625;49;9;7;0,6;PD
134;13;267;0,0001;0,0001;PD
181,5;22;76;3,7;0,0001;PD
121;3;1;0,0001;0,0001;PD
16000;3600;670;14;0,0001;PD
890;110;3;84;700;PD
2091;149;20;3;0,0001;PD
26788;18342;2111;27;0,0001;PD
1950;123;38;2;2;PD
650;53;35;20;0,0001;PD
92,8;6,75;0,44;0,0001;0,0001;PD
187;5;1;0,0001;0,0001;PD
111,7;19,4;104,1;6,4;3,8;PD
85,87;7,01;4,49;2,64;0,0001;PD
195;5,3;0,0001;0,0001;0,0001;PD
60;5;1;6;29;PD
2240;360;25;169;828;PD
720;7;0,0001;15;101;D1
109;19;5;12;59;D1
8;0,0001;0,0001;43;101;D1
169;38;48,5;6,5;5,8;D1
14,1;4;1,3;1,5;9,5;D1
124;14;4;0,0001;13;D1
174;27;6;12;29;D1
179;39,3;64;654;168;D1
160;10;3;1;1;D1
4;1;2;7;52;D1
1330;10;20;66;182;D1
137;33;8;29;111;D1
595;32;4;18;65;D1
56;334,1;75;32;31;D1
716;7,1;33;20;6,8;D1
4230;690;5;196;1180;D1
142;17;4;7;38;D1
163;26;7;19;133;D1
549;121,3;25,5;31,9;198,5;D1
476;28;27;36;148;D1
345;112,3;27,5;51,5;58,8;D1
234,5;30,28;6,11;47,69;175,88;D1
153;18;9;0,0001;11;D1
1230;163;27;233;692;D1
111;2,8;47;0,0001;27,5;D1
500;97;193;40;121;D1
1000;500;1;400;500;D1
595;80;9;89;244;D1
102;6;6;7;10;D1
315;60;14;93;218;D1
67,8;8,89;1,88;12,67;36,2;D1
95;10;0,0001;11;39;D1
4127;267;18;355;2060;D1
1570;735;87;1330;1740;D2
800;1393;304;2817;3000;D2
29,1;11,4;1,41;20,34;37,6;D2
245;120;18;131;167;D2
61;21;2;26;89;D2
99;170;20;200;190;D2
243;127;20;122;588;D2
2850;1115;138;1987;3675;D2
512;87;11,5;163,59;185,21;D2
235,46;333,59;177,52;1201,85;148,87;D2
120;31;0,0001;66;94;D2
615;200;42;102;68;D2
24;13;5;43;319;D2
56;10;1,3;13,5;17,6;D2
85;49;4;50;399;D2
5900;1500;68;1200;800;D2
34;21;4;49;56;D2
475,3;195,8;32,6;187,3;221,2;D2
191;62;27;123;71;D2
8200;3790;250;4620;5830;D2
0,0001;0,0001;10;5;35;D2
530;345;85;266;21;D2
4;88;213;14;35;D2
59;20;120;5,5;8,9;D2
810;580;111;570;490;D2
65,4;20,2;70;39;40,2;D2
60;40;6,9;110;70;D2
84;6;1;14;86;D2
145,88;40,65;9,37;34,02;59,71;D2
5000;1200;83;1000;1100;D2
20000;13000;1850;29000;57000;D2
10000;6730;345;7330;10400;D2
